Rank,Count,Wins,Games,Win Pct
A,0,12523,55549,22.544%
A,1,90750,249919,36.312%
A,2,194915,390101,49.965%
A,3,158500,249258,63.589%
A,4,42646,55173,77.295%
K,0,23951,55170,43.413%
K,1,115746,249901,46.317%
K,2,194826,389917,49.966%
K,3,133539,249805,53.457%
K,4,31272,55207,56.645%
Q,0,26989,55557,48.579%
Q,1,123225,249660,49.357%
Q,2,194456,389570,49.916%
Q,3,126600,250177,50.604%
Q,4,28064,55036,50.992%
J,0,28006,54802,51.104%
J,1,126298,249753,50.569%
J,2,194682,390590,49.843%
J,3,123312,249404,49.443%
J,4,27036,55451,48.757%
T,0,29016,55339,52.433%
T,1,127743,250116,51.074%
T,2,194669,389213,50.016%
T,3,121590,249775,48.680%
T,4,26316,55557,47.368%
9,0,29399,55054,53.400%
9,1,128399,249700,51.421%
9,2,195275,390520,50.004%
9,3,120328,249378,48.251%
9,4,25933,55348,46.854%
8,0,29574,55201,53.575%
8,1,129183,249775,51.720%
8,2,194969,390671,49.906%
8,3,119870,249202,48.102%
8,4,25738,55151,46.668%
7,0,29791,55498,53.679%
7,1,129478,249088,51.981%
7,2,194977,390563,49.922%
7,3,119700,249496,47.977%
7,4,25388,55355,45.864%
6,0,29602,55007,53.815%
6,1,129907,249902,51.983%
6,2,194771,389975,49.944%
6,3,119523,249637,47.879%
6,4,25531,55479,46.019%
5,0,29780,55576,53.584%
5,1,130030,249471,52.122%
5,2,194985,389844,50.016%
5,3,119181,249687,47.732%
5,4,25358,55422,45.754%
4,0,30089,55247,54.463%
4,1,130114,249814,52.084%
4,2,194433,389774,49.884%
4,3,119274,249811,47.746%
4,4,25424,55354,45.930%
3,0,30056,55469,54.185%
3,1,129870,249004,52.156%
3,2,195161,390136,50.024%
3,3,119112,250028,47.639%
3,4,25135,55363,45.400%
2,0,29765,55070,54.049%
2,1,130074,250019,52.026%
2,2,194998,390179,49.977%
2,3,119306,249714,47.777%
2,4,25191,55018,45.787%
